name,opendate,area,code,stationname,latitude,longitude,stationId
Tuas Crescent,2017,Tuas Crescent,EW31,Tuas Crescent,1.321166,103.649067,126
Gul Circle,2017,Tuas,EW30,Gul Circle,1.319559,103.660564,127
Tuas Link,2017,Tuas Link,EW33,Tuas Link,1.340515,103.636880,128
Tuas West Road,2017,Tuas West,EW32,Tuas West Road,1.329849,103.640827,129
Kaki Bukit,2017,Kaki Bukit,DT28,Kaki Bukit,1.334999,103.908437,130
Bedok Reservoir,2017,Bedok Reservoir,DT30,Bedok Reservoir,1.336661,103.932219,131
Mattar,2017,Mattar,DT25,Mattar,1.326900,103.883325,132
Bedok North,2017,Bedok Town Park,DT29,Bedok North,1.334736,103.917965,133
Ubi,2017,Ubi,DT27,Ubi,1.329997,103.899265,134
Fort Canning,2017,River Valley,DT20,Fort Canning,1.293418,103.843885,135
Tampines West,2017,Tampines West,DT31,Tampines West,1.345749,103.938463,136
Upper Changi,2017,Upper Changi,DT34,Upper Changi,1.341609,103.961358,137
Geylang Bahru,2017,Kallang Bahru,DT24,Geylang Bahru,1.321498,103.871852,138
Tampines East,2017,Tampines East,DT33,Tampines East,1.356437,103.953294,139
Tampines,2017,Tampines,DT32,Tampines,1.354821,103.943306,140
MacPherson,2017,MacPherson,DT26,MacPherson,1.326749,103.889882,141
Expo,2017,Expo,DT35,Expo,1.335253,103.962000,142
Bencoolen,2017,Bencoolen,DT21,Bencoolen,1.298880,103.850386,143
Jalan Besar,2017,Sungei Road,DT22,Jalan Besar,1.305440,103.855476,144
Bendemeer,2017,Jalan Besar,DT23,Bendemeer,1.313686,103.862986,145
Canberra,,,,,1.443300,103.829600,146
South View,LRT,,,,1.380299,103.745286,147
Keat Hong,LRT,,,,1.378604,103.749058,148
Teck Whye,LRT,,,,1.376738,103.753665,149
Phoenix,LRT,,,,1.378798,103.758021,150
Senja,LRT,,,,1.382852,103.762312,151
Jelapang,LRT,,,,1.386703,103.764547,152
Segar,LRT,,,,1.387713,103.769599,153
Fajar,LRT,,,,1.384502,103.770862,154
Bangkit,LRT,,,,1.380281,103.772576,155
Pending,LRT,,,,1.376223,103.771277,156
Petir,LRT,,,,1.377828,103.76655,157
Compassvale,LRT,,,,1.394615,103.900443,158
Rumbia,LRT,,,,1.391553,103.905947,159
Bakau,LRT,,,,1.38804,103.905412,160
Kangkar,LRT,,,,1.383957,103.90216,161
Ranggung,LRT,,,,1.384116,103.897386,162
Cheng Lim,LRT,,,,1.396332,103.89379,163
Farmway,LRT,,,,1.397178,103.889168,164
Kupang,LRT,,,,1.398271,103.881283,165
Thanggam,LRT,,,,1.397378,103.87561,166
Fernvale,LRT,,,,1.392033,103.876256,167
Layar,LRT,,,,1.392141,103.880022,168
Tongkang,LRT,,,,1.389519,103.885829,169
Renjong,LRT,,,,1.386827,103.890541,170
Cove,LRT,,,,1.399534,103.905792,171
